Unnamed: 0,userinputid,inputvalue,assessmentvalue,repetitions,inputtimestamp,presentationtimestamp,startplaytimestamp,stopplaytimestamp,comment,status,itemid,url,label,options,expected,userid,initials,email,sex,accent,accentcity,firstlanguage,spokendialect,hearing,profession,education,parentslanguage,sessionid,participantage,environment,equipment,device,browser,startdate,enddate,residence,campaign,sectionid,position,ordering,active,scriptid,experiment,projectname,adminid,musicalinstrument,handedness,speechrate,ipaddress,foreignlanguages,fatherscity,motherscity,birthcity,proficiency,frequency,birthyear,birthmonth,hostname,username
59,2288155,neutral,,1,1588089454543,1588089451531,1588089452210,1588089453350,,done,2278367,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,89,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
72,2288091,Wut,,1,1588089200685,1588089188294,1588089193345,1588089194501,,done,2278362,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,67,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
83,2288234,neutral,,2,1588089680199,1588089673960,1588089674368,1588089678045,,done,2278330,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,62,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
93,2288171,Freude,,1,1588089500466,1588089497753,1588089498350,1588089499333,,done,2278369,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,90,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
111,2288189,Freude,,1,1588089553182,1588089551043,1588089551577,1588089552818,,done,2278349,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,37,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
125,2288203,neutral,,1,1588089586784,1588089585231,1588089585572,1588089586239,,done,2278328,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,73,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
131,2288209,Freude,,1,1588089606426,1588089602908,1588089603548,1588089604361,,done,2278343,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,85,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
138,2288216,neutral,,1,1588089624251,1588089621081,1588089621374,1588089622182,,done,2278355,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,54,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
160,2287971,Freude,,1,1588088291869,1588088288768,1588088289750,1588088291234,,done,2278349,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,37,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
169,2287980,Freude,,1,1588088330908,1588088327899,1588088328787,1588088329674,,done,2278328,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,73,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
