Unnamed: 0,userinputid,inputvalue,assessmentvalue,repetitions,inputtimestamp,presentationtimestamp,startplaytimestamp,stopplaytimestamp,comment,status,itemid,url,label,options,expected,userid,initials,email,sex,accent,accentcity,firstlanguage,spokendialect,hearing,profession,education,parentslanguage,sessionid,participantage,environment,equipment,device,browser,startdate,enddate,residence,campaign,sectionid,position,ordering,active,scriptid,experiment,projectname,adminid,musicalinstrument,handedness,speechrate,ipaddress,foreignlanguages,fatherscity,motherscity,birthcity,proficiency,frequency,birthyear,birthmonth,hostname,username
2,2288098,Wut,,1,1588089251905,1588089248720,1588089249419,1588089250665,,done,2278370,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,95,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
82,2288233,Wut,,1,1588089673910,1588089670791,1588089671161,1588089671745,,done,2278366,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,6,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
84,2288235,Wut,,1,1588089681815,1588089680252,1588089680812,1588089681345,,done,2278336,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,58,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
87,2288165,Wut,,1,1588089484113,1588089482127,1588089482715,1588089483792,,done,2278332,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,18,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
91,2288169,Wut,,1,1588089493265,1588089491031,1588089491565,1588089492393,,done,2278350,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,16,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
108,2288186,Wut,,1,1588089546069,1588089544332,1588089544745,1588089546037,,done,2278356,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,14,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
117,2288195,Wut,,1,1588089568887,1588089566398,1588089566842,1588089567978,,done,2278364,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,31,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
140,2288218,Wut,,1,1588089629956,1588089627468,1588089628213,1588089629742,,done,2278344,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,54,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
218,2288049,Wut,,1,1588088538614,1588088535490,1588088536475,1588088538004,,done,2278356,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,14,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
238,2287909,Freude,,2,1588087975675,1588087962527,1588087964390,1588087969028,,done,2278332,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,18,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
